Identifier,CP Short Title,Event Label,Parent Code,Name,Code,Lineage,Specimen Class,Specimen Type,Anatomic Site,Laterality,Pathology,Storage Type,Initial Quantity,Concentration,Quantity Unit,Concentration Unit,Collector#Email Address,Collection Container,Collection Procedure,Receiver#Email Address,Label Format,Label Auto Print Mode,Label Print Copies,Pre-barcoded Tube,Sort Order,Default Custom Field Values,Activity Status,Parent UID,Unique ID
23123,MMGE-MJFF-PPMI-BIO,V02,,,10,Aliquot,Fluid,Buffy Coat,Not Specified,Not Specified,Not Specified,Manual,750.00000000,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23122,sr_23123
23124,MMGE-MJFF-PPMI-BIO,V02,,,11,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Virtual,3000.00000000,,uL,,,EDTA Tube - 3mL,Not Specified,,,,,no,,,Active,,sr_23124
23125,MMGE-MJFF-PPMI-BIO,V02,,,12,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Virtual,3000.00000000,,uL,,,EDTA Tube - 3mL,Not Specified,,,,,no,,,Active,,sr_23125
23126,MMGE-MJFF-PPMI-BIO,V02,,,13,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Virtual,10000.00000000,,uL,,,Serum (Red) Tube - 10mL,Not Specified,,,,,no,,,Active,,sr_23126
23127,MMGE-MJFF-PPMI-BIO,V02,,,14,Derived,Fluid,Serum,Not Specified,Not Specified,Not Specified,Virtual,,,uL,,,Serum (Red) Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23126,sr_23127
23128,MMGE-MJFF-PPMI-BIO,V02,,,15,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Serum (Red) Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23127,sr_23128
23129,MMGE-MJFF-PPMI-BIO,V02,,,16,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Serum (Red) Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23127,sr_23129
23130,MMGE-MJFF-PPMI-BIO,V02,,,17,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Serum (Red) Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23127,sr_23130
23131,MMGE-MJFF-PPMI-BIO,V02,,,18,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Serum (Red) Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23127,sr_23131
23132,MMGE-MJFF-PPMI-BIO,V02,,,19,New,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Virtual,30000.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,,sr_23132
23133,MMGE-MJFF-PPMI-BIO,V02,,,20,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23133
23134,MMGE-MJFF-PPMI-BIO,V02,,,21,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23134
23135,MMGE-MJFF-PPMI-BIO,V02,,,22,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23135
23136,MMGE-MJFF-PPMI-BIO,V02,,,23,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23136
23137,MMGE-MJFF-PPMI-BIO,V02,,,24,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23137
23138,MMGE-MJFF-PPMI-BIO,V02,,,25,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23138
23139,MMGE-MJFF-PPMI-BIO,V02,,,26,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23139
23140,MMGE-MJFF-PPMI-BIO,V02,,,27,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23140
23141,MMGE-MJFF-PPMI-BIO,V02,,,28,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23141
23142,MMGE-MJFF-PPMI-BIO,V02,,,29,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23142
23143,MMGE-MJFF-PPMI-BIO,V02,,,30,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23143
23144,MMGE-MJFF-PPMI-BIO,V02,,,31,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23144
23145,MMGE-MJFF-PPMI-BIO,V02,,,32,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23145
23146,MMGE-MJFF-PPMI-BIO,V02,,,33,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23146
23147,MMGE-MJFF-PPMI-BIO,V02,,,34,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23147
23148,MMGE-MJFF-PPMI-BIO,V02,,,35,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23148
23149,MMGE-MJFF-PPMI-BIO,V02,,,36,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23149
23150,MMGE-MJFF-PPMI-BIO,V02,,,37,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23150
23151,MMGE-MJFF-PPMI-BIO,V02,,,38,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23151
23152,MMGE-MJFF-PPMI-BIO,V02,,,39,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23132,sr_23152
24914,MMGE-MJFF-PPMI-BIO,V02,,FROZEN,45,New,Tissue,Tissue Frozen,Cervical Paravertebral,Not Specified,Not Specified,Virtual,,,each,'-,,Sterile Container,Not Specified,,,,,no,,,Active,,sr_24914
24915,MMGE-MJFF-PPMI-BIO,V02,,FROZEN,46,New,Tissue,Tissue Frozen,Cervical Paravertebral,Not Specified,Not Specified,Virtual,,,each,'-,,Sterile Container,Not Specified,,,,,no,,,Active,,sr_24915
24916,MMGE-MJFF-PPMI-BIO,V02,,FORMALIN,42,New,Tissue,Tissue Fixed,Cervical Paravertebral,Not Specified,Not Specified,Virtual,,,each,'-,,Sterile Container,Not Specified,,,,,no,,,Active,,sr_24916
24917,MMGE-MJFF-PPMI-BIO,V02,,,43,New,Fluid,Urine,Not Specified,Not Specified,Not Specified,Virtual,15000.00000000,,uL,,,Urine Cup,Not Specified,,,,,no,,,Active,,sr_24917
24918,MMGE-MJFF-PPMI-BIO,V02,,,44,Aliquot,Fluid,Urine,Not Specified,Not Specified,Not Specified,Manual,15000.00000000,,uL,,,Urine Cup,Not Specified,,,,,no,1,,Active,sr_24917,sr_24918
23157,MMGE-MJFF-PPMI-BIO,V03,,,1,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Virtual,10000.00000000,,uL,,,RNA PAXgene Tube 10mL,Not Specified,,,,,no,1,,Active,,sr_23157
23158,MMGE-MJFF-PPMI-BIO,V03,,,2,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Virtual,10000.00000000,,uL,,,RNA PAXgene Tube 10mL,Not Specified,,,,,no,,,Active,,sr_23158
23159,MMGE-MJFF-PPMI-BIO,V03,,,3,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Virtual,10000.00000000,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,,sr_23159
23160,MMGE-MJFF-PPMI-BIO,V03,,,68,Derived,Fluid,Serum,Not Specified,Not Specified,Not Specified,Virtual,,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23159,sr_23160
23161,MMGE-MJFF-PPMI-BIO,V03,,,69,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23160,sr_23161
23162,MMGE-MJFF-PPMI-BIO,V03,,,70,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23160,sr_23162
23163,MMGE-MJFF-PPMI-BIO,V03,,,71,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23160,sr_23163
23164,MMGE-MJFF-PPMI-BIO,V03,,,72,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23160,sr_23164
25728,MMGE-MJFF-PPMI-BIO,V03,,,4,Derived,Fluid,Plasma,Not Specified,Not Specified,Not Specified,Virtual,,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23159,sr_25728
25729,MMGE-MJFF-PPMI-BIO,V03,,,5,Aliquot,Fluid,Plasma,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,sr_25728,sr_25729
25730,MMGE-MJFF-PPMI-BIO,V03,,,6,Aliquot,Fluid,Plasma,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,sr_25728,sr_25730
25731,MMGE-MJFF-PPMI-BIO,V03,,,7,Aliquot,Fluid,Plasma,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,sr_25728,sr_25731
25732,MMGE-MJFF-PPMI-BIO,V03,,,8,Aliquot,Fluid,Plasma,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,sr_25728,sr_25732
23371,MMGE-MJFF-PPMI-BIO,V03,,,11,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Virtual,3000.00000000,,uL,,,EDTA Tube - 3mL,Not Specified,,,,,no,,,Active,,sr_23371
23372,MMGE-MJFF-PPMI-BIO,V03,,,12,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Virtual,3000.00000000,,uL,,,EDTA Tube - 3mL,Not Specified,,,,,no,,,Active,,sr_23372
23373,MMGE-MJFF-PPMI-BIO,V03,,,13,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Virtual,10000.00000000,,uL,,,Serum (Red) Tube - 10mL,Not Specified,,,,,no,,,Active,,sr_23373
23374,MMGE-MJFF-PPMI-BIO,V03,,,14,Derived,Fluid,Serum,Not Specified,Not Specified,Not Specified,Virtual,,,uL,,,Serum (Red) Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23373,sr_23374
23375,MMGE-MJFF-PPMI-BIO,V03,,,15,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Serum (Red) Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23374,sr_23375
23376,MMGE-MJFF-PPMI-BIO,V03,,,16,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Serum (Red) Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23374,sr_23376
23377,MMGE-MJFF-PPMI-BIO,V03,,,17,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Serum (Red) Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23374,sr_23377
23378,MMGE-MJFF-PPMI-BIO,V03,,,18,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Serum (Red) Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23374,sr_23378
23379,MMGE-MJFF-PPMI-BIO,V03,,,19,New,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Virtual,30000.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,,sr_23379
23380,MMGE-MJFF-PPMI-BIO,V03,,,20,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23380
23381,MMGE-MJFF-PPMI-BIO,V03,,,21,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23381
23382,MMGE-MJFF-PPMI-BIO,V03,,,22,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23382
23383,MMGE-MJFF-PPMI-BIO,V03,,,23,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23383
23384,MMGE-MJFF-PPMI-BIO,V03,,,24,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23384
23385,MMGE-MJFF-PPMI-BIO,V03,,,25,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23385
23386,MMGE-MJFF-PPMI-BIO,V03,,,26,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23386
23387,MMGE-MJFF-PPMI-BIO,V03,,,27,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23387
23388,MMGE-MJFF-PPMI-BIO,V03,,,28,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23388
23389,MMGE-MJFF-PPMI-BIO,V03,,,29,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23389
23390,MMGE-MJFF-PPMI-BIO,V03,,,30,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23390
23391,MMGE-MJFF-PPMI-BIO,V03,,,31,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23391
23392,MMGE-MJFF-PPMI-BIO,V03,,,32,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23392
23393,MMGE-MJFF-PPMI-BIO,V03,,,33,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23393
23394,MMGE-MJFF-PPMI-BIO,V03,,,34,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23394
23395,MMGE-MJFF-PPMI-BIO,V03,,,35,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23395
23396,MMGE-MJFF-PPMI-BIO,V03,,,36,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23396
23397,MMGE-MJFF-PPMI-BIO,V03,,,37,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23397
23398,MMGE-MJFF-PPMI-BIO,V03,,,38,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23398
23399,MMGE-MJFF-PPMI-BIO,V03,,,39,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23379,sr_23399
24922,MMGE-MJFF-PPMI-BIO,V03,,FROZEN,45,New,Tissue,Tissue Frozen,Cervical Paravertebral,Not Specified,Not Specified,Virtual,,,each,'-,,Sterile Container,Not Specified,,,,,no,,,Active,,sr_24922
24923,MMGE-MJFF-PPMI-BIO,V03,,FROZEN,46,New,Tissue,Tissue Frozen,Cervical Paravertebral,Not Specified,Not Specified,Virtual,,,each,'-,,Sterile Container,Not Specified,,,,,no,,,Active,,sr_24923
24924,MMGE-MJFF-PPMI-BIO,V03,,FORMALIN,42,New,Tissue,Tissue Fixed,Cervical Paravertebral,Not Specified,Not Specified,Virtual,,,each,'-,,Sterile Container,Not Specified,,,,,no,,,Active,,sr_24924
24926,MMGE-MJFF-PPMI-BIO,V03,,,43,New,Fluid,Urine,Not Specified,Not Specified,Not Specified,Virtual,15000.00000000,,uL,,,Urine Cup,Not Specified,,,,,no,,,Active,,sr_24926
24927,MMGE-MJFF-PPMI-BIO,V03,,,44,Aliquot,Fluid,Urine,Not Specified,Not Specified,Not Specified,Manual,15000.00000000,,uL,,,Urine Cup,Not Specified,,,,,no,1,,Active,sr_24926,sr_24927
23190,MMGE-MJFF-PPMI-BIO,V04,,,1,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Virtual,10000.00000000,,uL,,,RNA PAXgene Tube 10mL,Not Specified,,,,,no,,,Active,,sr_23190
23191,MMGE-MJFF-PPMI-BIO,V04,,,2,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Virtual,10000.00000000,,uL,,,RNA PAXgene Tube 10mL,Not Specified,,,,,no,,,Active,,sr_23191
23192,MMGE-MJFF-PPMI-BIO,V04,,,3,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Virtual,10000.00000000,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,,sr_23192
23193,MMGE-MJFF-PPMI-BIO,V04,,,4,Derived,Fluid,Plasma,Not Specified,Not Specified,Not Specified,Virtual,,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23192,sr_23193
23194,MMGE-MJFF-PPMI-BIO,V04,,,5,Aliquot,Fluid,Plasma,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23193,sr_23194
23195,MMGE-MJFF-PPMI-BIO,V04,,,6,Aliquot,Fluid,Plasma,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23193,sr_23195
23196,MMGE-MJFF-PPMI-BIO,V04,,,7,Aliquot,Fluid,Plasma,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23193,sr_23196
23197,MMGE-MJFF-PPMI-BIO,V04,,,8,Aliquot,Fluid,Plasma,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23193,sr_23197
23198,MMGE-MJFF-PPMI-BIO,V04,,,9,Derived,Fluid,Buffy Coat,Not Specified,Not Specified,Not Specified,Virtual,,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23192,sr_23198
23199,MMGE-MJFF-PPMI-BIO,V04,,,10,Aliquot,Fluid,Buffy Coat,Not Specified,Not Specified,Not Specified,Manual,750.00000000,,uL,,,EDTA Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23198,sr_23199
23200,MMGE-MJFF-PPMI-BIO,V04,,,11,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Virtual,3000.00000000,,uL,,,EDTA Tube - 3mL,Not Specified,,,,,no,,,Active,,sr_23200
23201,MMGE-MJFF-PPMI-BIO,V04,,,12,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Virtual,3000.00000000,,uL,,,EDTA Tube - 3mL,Not Specified,,,,,no,,,Active,,sr_23201
23202,MMGE-MJFF-PPMI-BIO,V04,,,13,New,Fluid,Whole Blood,Not Specified,Not Specified,Not Specified,Virtual,10000.00000000,,uL,,,Serum (Red) Tube - 10mL,Not Specified,,,,,no,,,Active,,sr_23202
23203,MMGE-MJFF-PPMI-BIO,V04,,,14,Derived,Fluid,Serum,Not Specified,Not Specified,Not Specified,Virtual,,,uL,,,Serum (Red) Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23202,sr_23203
23204,MMGE-MJFF-PPMI-BIO,V04,,,15,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Serum (Red) Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23203,sr_23204
23205,MMGE-MJFF-PPMI-BIO,V04,,,16,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Serum (Red) Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23203,sr_23205
23206,MMGE-MJFF-PPMI-BIO,V04,,,17,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Serum (Red) Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23203,sr_23206
23207,MMGE-MJFF-PPMI-BIO,V04,,,18,Aliquot,Fluid,Serum,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Serum (Red) Tube - 10mL,Not Specified,,,,,no,,,Active,sr_23203,sr_23207
23208,MMGE-MJFF-PPMI-BIO,V04,,,19,New,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Virtual,30000.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,,sr_23208
23209,MMGE-MJFF-PPMI-BIO,V04,,,20,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23208,sr_23209
23210,MMGE-MJFF-PPMI-BIO,V04,,,21,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23208,sr_23210
23211,MMGE-MJFF-PPMI-BIO,V04,,,22,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23208,sr_23211
23212,MMGE-MJFF-PPMI-BIO,V04,,,23,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23208,sr_23212
23213,MMGE-MJFF-PPMI-BIO,V04,,,24,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23208,sr_23213
23214,MMGE-MJFF-PPMI-BIO,V04,,,25,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23208,sr_23214
23215,MMGE-MJFF-PPMI-BIO,V04,,,26,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23208,sr_23215
23216,MMGE-MJFF-PPMI-BIO,V04,,,27,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23208,sr_23216
23217,MMGE-MJFF-PPMI-BIO,V04,,,28,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23208,sr_23217
23218,MMGE-MJFF-PPMI-BIO,V04,,,29,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23208,sr_23218
23219,MMGE-MJFF-PPMI-BIO,V04,,,30,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23208,sr_23219
23220,MMGE-MJFF-PPMI-BIO,V04,,,31,Aliquot,Fluid,Cerebrospinal Fluid,Not Specified,Not Specified,Not Specified,Manual,1500.00000000,,uL,,,Sterile Container,Not Specified,,,,,no,,,Active,sr_23208,sr_23220
